Time,Discharge_Capacity,Current
2015-11-13 09:28:05,1.64111413347712E-09,1.30580234527588
2015-11-13 09:28:15,1.64111413347712E-09,1.25709533691406
2015-11-13 09:28:25,1.64111413347712E-09,1.20673561096191
2015-11-13 09:28:35,1.64111413347712E-09,1.15979766845703
2015-11-13 09:28:45,1.64111413347712E-09,1.11637496948242
2015-11-13 09:28:55,1.64111413347712E-09,1.07551574707031
2015-11-13 09:29:05,1.64111413347712E-09,1.03609657287598
2015-11-13 09:29:15,1.64111413347712E-09,0.997522354125977
2015-11-13 09:29:25,1.64111413347712E-09,0.961033821105957
2015-11-13 09:29:35,1.64111413347712E-09,0.924373626708984
2015-11-13 09:29:45,1.64111413347712E-09,0.887794494628906
2015-11-13 09:29:55,1.64111413347712E-09,0.851907730102539
2015-11-13 09:30:05,1.64111413347712E-09,0.817588806152344
2015-11-13 09:30:15,1.64111413347712E-09,0.784049987792969
2015-11-13 09:30:25,1.64111413347712E-09,0.750933647155762
2015-11-13 09:30:35,1.64111413347712E-09,0.719894409179688
2015-11-13 09:30:45,1.64111413347712E-09,0.689906120300293
2015-11-13 09:30:55,1.64111413347712E-09,0.661469459533691
2015-11-13 09:31:05,1.64111413347712E-09,0.651997566223145
2015-11-13 09:31:15,1.64111413347712E-09,0
2015-11-13 09:31:25,1.64111413347712E-09,0
2015-11-13 09:31:35,1.64111413347712E-09,0
2015-11-13 09:31:45,0.217329561710358,-6.52011108398438
2015-11-13 09:31:55,0.434670686721802,-6.52016353607178
2015-11-13 09:32:05,0.652006387710571,-6.52005195617676
2015-11-13 09:32:15,0.869345009326935,-6.52011299133301
2015-11-13 09:32:25,1.08667147159576,-6.52011632919312
2015-11-13 09:32:35,1.30401158332825,-6.51997947692871
2015-11-13 09:32:45,1.39348900318146,-6.52004718780518
2015-11-13 09:32:55,1.39360427856445,0
2015-11-13 09:33:05,1.39360427856445,0
2015-11-13 09:33:15,1.39360427856445,0
2015-11-13 09:33:25,0,3.25992488861084
2015-11-13 09:33:35,0,3.25996875762939
2015-11-13 09:33:45,0,3.25992107391357
2015-11-13 09:33:55,0,3.25991916656494
2015-11-13 09:34:05,0,3.25999546051025
2015-11-13 09:34:15,0,3.12399196624756
2015-11-13 09:34:25,0,2.68377780914307
2015-11-13 09:34:35,0,2.3200101852417
2015-11-13 09:34:45,0,2.03442668914795
2015-11-13 09:34:55,0,1.8116626739502
2015-11-13 09:35:05,0,1.63467121124268
2015-11-13 09:35:15,0,1.49217128753662
2015-11-13 09:35:25,0,1.37550449371338
2015-11-13 09:35:35,0,1.27841567993164
2015-11-13 09:35:45,0,1.19557762145996
2015-11-13 09:35:55,0,1.12215042114258
2015-11-13 09:36:05,0,1.05657196044922
2015-11-13 09:36:15,0,0.997474670410156
2015-11-13 09:36:25,0,0.942136764526367
2015-11-13 09:36:35,0,0.890994071960449
2015-11-13 09:36:45,0,0.843293190002441
2015-11-13 09:36:55,0,0.798603057861328
2015-11-13 09:37:05,0,0.756454467773438
2015-11-13 09:37:15,0,0.716975212097168
2015-11-13 09:37:25,0,0.680047988891602
2015-11-13 09:37:35,0,0.651995658874512
2015-11-13 09:37:45,0,0
2015-11-13 09:37:55,0,0
2015-11-13 09:38:05,0,0
2015-11-13 09:38:15,0.217331677675247,-6.52010107040405
2015-11-13 09:38:25,0.434675693511963,-6.52009963989258
2015-11-13 09:38:35,0.651993691921234,-6.52011632919312
2015-11-13 09:38:45,0.869346678256989,-6.52012634277344
2015-11-13 09:38:55,1.08667266368866,-6.52015495300293
2015-11-13 09:39:05,1.30402529239655,-6.52015161514282
2015-11-13 09:39:15,1.35889911651611,-6.5198917388916
2015-11-13 09:39:25,1.35900616645813,0
2015-11-13 09:39:35,1.35900616645813,0
2015-11-13 09:39:45,1.35900616645813,0
2015-11-13 09:39:55,1.37236344510683E-09,3.25986194610596
2015-11-13 09:40:05,1.37236344510683E-09,3.25992488861084
2015-11-13 09:40:16,1.37236344510683E-09,3.25992488861084
2015-11-13 09:40:26,1.37236344510683E-09,3.2599401473999
2015-11-13 09:40:36,1.37236344510683E-09,3.25995922088623
2015-11-13 09:40:46,1.37236344510683E-09,2.95507717132568
2015-11-13 09:40:56,1.37236344510683E-09,2.52377796173096
2015-11-13 09:41:06,1.37236344510683E-09,2.18339252471924
2015-11-13 09:41:16,1.37236344510683E-09,1.91925144195557
2015-11-13 09:41:26,1.37236344510683E-09,1.71371173858643
2015-11-13 09:41:36,1.37236344510683E-09,1.54974460601807
2015-11-13 09:41:46,1.37236344510683E-09,1.41851139068604
2015-11-13 09:41:56,1.37236344510683E-09,1.31103897094727
2015-11-13 09:42:06,1.37236344510683E-09,1.21934604644775
2015-11-13 09:42:16,1.37236344510683E-09,1.13968658447266
2015-11-13 09:42:26,1.37236344510683E-09,1.07063007354736
2015-11-13 09:42:36,1.37236344510683E-09,1.00741100311279
2015-11-13 09:42:46,1.37236344510683E-09,0.949504852294922
2015-11-13 09:42:56,1.37236344510683E-09,0.896576881408691
2015-11-13 09:43:06,1.37236344510683E-09,0.846328735351563
2015-11-13 09:43:16,1.37236344510683E-09,0.79926872253418
2015-11-13 09:43:26,1.37236344510683E-09,0.754226684570313
2015-11-13 09:43:36,1.37236344510683E-09,0.712996482849121
2015-11-13 09:43:46,1.37236344510683E-09,0.678394317626953
2015-11-13 09:43:56,1.37236344510683E-09,0.651997566223145
2015-11-13 09:44:06,1.37236344510683E-09,0
2015-11-13 09:44:16,1.37236344510683E-09,0
2015-11-13 09:44:26,1.37236344510683E-09,0
